arm,arm_order,dataset_fingerprint,environment,generator_version,initial_dataset_fingerprint,measurement,pair_id,reset_fingerprint,reset_implementation,seed
baseline,BA,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.061417748917749, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 735.430735930736}, ""elapsed_seconds"": 120.10356461201445, ""error_count"": 0, ""p50_latency_ms"": 1.6823354962980375, ""p95_latency_ms"": 129.9046862332034, ""p99_latency_ms"": 153.27208839153175, ""successful_operations"": 3696, ""throughput_successful_ops_per_second"": 30.773441337396193, ""timeout_count"": 0}",commercebench-r28b-publication-b3_deterministic_with_gate-cand-01,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
candidate,BA,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.0026700099835155, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 605.9658122634719}, ""elapsed_seconds"": 120.00068690499756, ""error_count"": 0, ""p50_latency_ms"": 1.1406694975448772, ""p95_latency_ms"": 2.577533958537969, ""p99_latency_ms"": 3.6259199972846523, ""successful_operations"": 86142, ""throughput_successful_ops_per_second"": 717.8458909005839, ""timeout_count"": 0}",commercebench-r28b-publication-b3_deterministic_with_gate-cand-01,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
