arm,arm_order,dataset_fingerprint,environment,generator_version,initial_dataset_fingerprint,measurement,pair_id,reset_fingerprint,reset_implementation,seed
baseline,AB,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.0592212006489994, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 730.9299621416982}, ""elapsed_seconds"": 120.09072098898469, ""error_count"": 0, ""p50_latency_ms"": 1.7270959942834452, ""p95_latency_ms"": 129.40459389501487, ""p99_latency_ms"": 149.896762528806, ""successful_operations"": 3698, ""throughput_successful_ops_per_second"": 30.793386612602642, ""timeout_count"": 0}",commercebench-r28b-publication-b1_deterministic_no_gate-aa-07,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
candidate,AB,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.0604894143524883, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 733.5224085784988}, ""elapsed_seconds"": 120.00186497499817, ""error_count"": 0, ""p50_latency_ms"": 1.7782259965315461, ""p95_latency_ms"": 130.04906860296614, ""p99_latency_ms"": 155.19450272317033, ""successful_operations"": 3637, ""throughput_successful_ops_per_second"": 30.30786230495461, ""timeout_count"": 0}",commercebench-r28b-publication-b1_deterministic_no_gate-aa-07,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
