arm,arm_order,dataset_fingerprint,environment,generator_version,initial_dataset_fingerprint,measurement,pair_id,reset_fingerprint,reset_implementation,seed
baseline,AB,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.0615716986227384, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 730.8190656224683}, ""elapsed_seconds"": 120.00968039300642, ""error_count"": 0, ""p50_latency_ms"": 1.7793599981814623, ""p95_latency_ms"": 129.90082519536372, ""p99_latency_ms"": 151.36862063955053, ""successful_operations"": 3703, ""throughput_successful_ops_per_second"": 30.855844194180463, ""timeout_count"": 0}",commercebench-r28b-publication-b5_full_with_experience-cand-12,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
candidate,AB,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.002698280914241, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 606.2572157647978}, ""elapsed_seconds"": 120.00077016602154, ""error_count"": 0, ""p50_latency_ms"": 1.2115139834349975, ""p95_latency_ms"": 2.6836225049919467, ""p99_latency_ms"": 3.708889046392872, ""successful_operations"": 81904, ""throughput_successful_ops_per_second"": 682.5289528282651, ""timeout_count"": 0}",commercebench-r28b-publication-b5_full_with_experience-cand-12,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
