arm,arm_order,dataset_fingerprint,environment,generator_version,initial_dataset_fingerprint,measurement,pair_id,seed
baseline,AB,c1c16b36c3290276df9e495a20b585dfab57f29572caba401c0b972ab7312cd5,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,c1c16b36c3290276df9e495a20b585dfab57f29572caba401c0b972ab7312cd5,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.04, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 1223.755}, ""elapsed_seconds"": 2.404798765986925, ""error_count"": 0, ""p50_latency_ms"": 3.061611016164534, ""p95_latency_ms"": 39.0591094546835, ""p99_latency_ms"": 57.245187015214036, ""successful_operations"": 200, ""throughput_successful_ops_per_second"": 83.16704201148421, ""timeout_count"": 0}",commercebench-r28a-standard-b0_native,42
candidate,AB,c1c16b36c3290276df9e495a20b585dfab57f29572caba401c0b972ab7312cd5,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,c1c16b36c3290276df9e495a20b585dfab57f29572caba401c0b972ab7312cd5,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.015, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 1155.55}, ""elapsed_seconds"": 2.4537406740128063, ""error_count"": 0, ""p50_latency_ms"": 2.8482290072133765, ""p95_latency_ms"": 40.69103589426959, ""p99_latency_ms"": 61.385791617794574, ""successful_operations"": 200, ""throughput_successful_ops_per_second"": 81.50820586632057, ""timeout_count"": 0}",commercebench-r28a-standard-b0_native,42
