arm,arm_order,dataset_fingerprint,environment,generator_version,initial_dataset_fingerprint,measurement,pair_id,seed
baseline,AB,c1c16b36c3290276df9e495a20b585dfab57f29572caba401c0b972ab7312cd5,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,c1c16b36c3290276df9e495a20b585dfab57f29572caba401c0b972ab7312cd5,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.035, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 1165.165}, ""elapsed_seconds"": 3.8615588120010216, ""error_count"": 0, ""p50_latency_ms"": 4.067727510118857, ""p95_latency_ms"": 71.19428557343781, ""p99_latency_ms"": 115.73133619618568, ""successful_operations"": 200, ""throughput_successful_ops_per_second"": 51.792555736413085, ""timeout_count"": 0}",commercebench-r28a-standard-b3_deterministic_with_gate,42
candidate,AB,c1c16b36c3290276df9e495a20b585dfab57f29572caba401c0b972ab7312cd5,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,c1c16b36c3290276df9e495a20b585dfab57f29572caba401c0b972ab7312cd5,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.03, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 1211.715}, ""elapsed_seconds"": 0.5575840300007258, ""error_count"": 0, ""p50_latency_ms"": 2.468870996381156, ""p95_latency_ms"": 4.7405789358890615, ""p99_latency_ms"": 5.607942980423103, ""successful_operations"": 200, ""throughput_successful_ops_per_second"": 358.6903304955482, ""timeout_count"": 0}",commercebench-r28a-standard-b3_deterministic_with_gate,42
