arm,arm_order,dataset_fingerprint,environment,generator_version,initial_dataset_fingerprint,measurement,pair_id,reset_fingerprint,reset_implementation,seed
baseline,AB,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.0594785442694188, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 731.3074416078218}, ""elapsed_seconds"": 120.04215178600862, ""error_count"": 0, ""p50_latency_ms"": 1.7406039987690747, ""p95_latency_ms"": 132.2421304226736, ""p99_latency_ms"": 152.10505258844935, ""successful_operations"": 3682, ""throughput_successful_ops_per_second"": 30.672559140423136, ""timeout_count"": 0}",commercebench-r28b-publication-b5_full_with_experience-aa-12,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
candidate,AB,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.062688201478237, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 732.7440459895976}, ""elapsed_seconds"": 120.06010354700265, ""error_count"": 0, ""p50_latency_ms"": 1.7704459896776825, ""p95_latency_ms"": 132.8972032002639, ""p99_latency_ms"": 155.28304402832873, ""successful_operations"": 3653, ""throughput_successful_ops_per_second"": 30.42642719835634, ""timeout_count"": 0}",commercebench-r28b-publication-b5_full_with_experience-aa-12,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
