arm,arm_order,dataset_fingerprint,environment,generator_version,initial_dataset_fingerprint,measurement,pair_id,reset_fingerprint,reset_implementation,seed
baseline,AB,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.0631929046563193, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 734.310421286031}, ""elapsed_seconds"": 120.04684884499875, ""error_count"": 0, ""p50_latency_ms"": 1.7134325025836006, ""p95_latency_ms"": 132.49161970452406, ""p99_latency_ms"": 161.10218339454144, ""successful_operations"": 3608, ""throughput_successful_ops_per_second"": 30.054933009183376, ""timeout_count"": 0}",commercebench-r28b-publication-b1_deterministic_no_gate-cand-01,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
candidate,AB,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.0025873069763631, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 606.0043551049557}, ""elapsed_seconds"": 120.00036053400254, ""error_count"": 0, ""p50_latency_ms"": 1.1577999975997955, ""p95_latency_ms"": 2.5968652043957263, ""p99_latency_ms"": 3.5208020894788183, ""successful_operations"": 85417, ""throughput_successful_ops_per_second"": 711.8061947471965, ""timeout_count"": 0}",commercebench-r28b-publication-b1_deterministic_no_gate-cand-01,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
