arm,arm_order,dataset_fingerprint,environment,generator_version,initial_dataset_fingerprint,measurement,pair_id,reset_fingerprint,reset_implementation,seed
baseline,AB,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.087124132613724, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 786.2586738627602}, ""elapsed_seconds"": 120.01491306201206, ""error_count"": 0, ""p50_latency_ms"": 2.8540240018628538, ""p95_latency_ms"": 184.49203555355777, ""p99_latency_ms"": 246.41494927287584, ""successful_operations"": 2594, ""throughput_successful_ops_per_second"": 21.613980578060932, ""timeout_count"": 0}",commercebench-r28b-publication-b0_native-aa-02,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
candidate,AB,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""mongodb_version"": ""8.0.29"", ""replica_set"": ""rs-evaluation""}",2,9f103bccb584a7152a3f2ad476a25c3aab784b0559c017f978726c0ab0b8dba2,"{""counter_deltas"": {""cpu_utilization"": 0.0, ""disk_io_bytes_per_op"": 1.0848605577689243, ""disk_utilization"": 0.0, ""memory_utilization"": 0.0, ""network_bytes_per_op"": 786.7772908366534}, ""elapsed_seconds"": 120.13963245297782, ""error_count"": 0, ""p50_latency_ms"": 2.9974915087223053, ""p95_latency_ms"": 187.63924395461802, ""p99_latency_ms"": 251.52905271854246, ""successful_operations"": 2510, ""throughput_successful_ops_per_second"": 20.892356242078602, ""timeout_count"": 0}",commercebench-r28b-publication-b0_native-aa-02,bc6203b934eb6fd27e73ead89894f65d4a3c45cf99d8774a05f65b27d0d2120f,delta,42
